state-code,male-percentage,female-percentage,p-value
0,0.08108333640396491,0.06037043996033532,0.34043254599067563
1,0.18955278856234514,0.14192765530518722,0.5370344780696732
2,0.05757763134956387,0.04339927910275993,0.3063303266624068
3,0.29945363440535566,0.2629811812126079,0.5688119155843847
4,0.3075053860845275,0.30207651009821246,0.7332771460408811
5,0.02131838055126219,0.015821501342118724,0.2708329639366195
6,0.05048102467229069,0.04127133556576486,0.29384486732713044
7,0.0825065208494718,0.07906043305559882,0.5875413796864789
8,0.018082249563915184,0.011028400991107188,0.2682295505559342
9,0.014806522288223899,0.010895322046211407,0.23499790902044113
10,0.018948229948190762,0.013128863872366224,0.30210891752615865
11,0.30775683288451416,0.28512349264539644,0.8832291962482016
12,0.33150584385750625,0.2715451281323948,0.8544321262487684
13,0.2992175857293571,0.24205826264634067,0.800517940961238
14,0.24763552543956358,0.1838636248172463,0.5888705069586452
15,0.06250956622891603,0.03368354227144299,0.38535662662587966
16,0.0688991963192017,0.03858428343672081,0.40204741678466105
17,0.10775274963936958,0.07740853404309121,0.4477884983944802
18,0.1653939224852462,0.11241943195437902,0.5182457697726552
19,0.0382267078527396,0.024549617460896022,0.2747666636542194
20,0.05705505184044125,0.03905131823941969,0.39186238937144946
21,0.15836269388429342,0.10432802452085489,0.4146233205831582
22,0.019103249890223523,0.013956479797563037,0.30005126302047536
23,0.020156434971043784,0.014274742097581679,0.29758074405284507
24,0.1645301585265245,0.11708091823418967,0.4593026145485146
25,0.14541486749921823,0.13713338927979687,0.8474819496757048
26,0.22840627580511974,0.18179514368218527,0.7040644694946198
27,0.19668401328391835,0.15276290267454803,0.5790307281227037
28,0.09039085818139356,0.059517690548608476,0.3434644981280853
29,0.14593422208926202,0.10996294555612202,0.4939896784434915
30,0.5348404902995373,0.4808515370340768,0.7312864671011704
31,0.19427588080789784,0.11311004784688995,0.3795940920126415
32,0.10819320049924466,0.08370938385371614,0.3362030527511226
33,0.039022441074797354,0.028797506627152532,0.346069979454243
34,0.06662574223156809,0.04855832633033385,0.35423476537312726
35,0.20626900838463852,0.17366495976591076,0.814565499898011
